277.7	94.99
281.0	100.5
283.1	106.5
288.1	108.8
287.7	94.68
268.2	101.3
281.7	105.8
294.7	96.5
323.4	111.1
312.2	97.65
312.9	109.1
312.8	108.6
307.8	99.26
324.9	77.9
312.2	101.8
309.1	92.87
321.1	104.6
318.5	95.38
316.9	89.47
328	97.2
314.2	104.0
318.0	103.4
322.7	110.0
318.9	84.49
287.4	147.6
284.8	148.7
283.9	155.9
275.1	144.6
294.1	169
286.4	149.6
291.8	150
268.4	166.6
286.1	162.2
275.8	168.2
285.4	139.1
286.3	168.6
277.5	140.9
273.5	156.9
291.6	147.8
280.8	160
331	151.6
299.6	154.3
329.7	150.9
317.4	166.6
316.1	149.7
323.1	151.1
322.7	152.3
301.1	151.7
323.5	151.9
309.4	144.6
325.7	151.3
316.1	155.1
316.4	153.5
313.8	140.5
317	136.6
313.4	145.8
303.8	151.2
316.2	155.5
316.7	154.4
315.4	147.3
321.6	149.9
318.9	161.5
326.5	160.2
323	148.7
304.1	144.3
307.1	140.7
315.9	145.2
321	144.5
327.4	161
318.3	146.6
300.9	147.9
330.6	143.5
317.5	152.8
313.5	160.6
322.8	153.9
310.5	143
300.2	148
311.9	164.5
315	149.9
305.3	151.0
